date_id,full_date,day,day_name,day_of_week,week_of_year,month,month_name,quarter,year,decade,is_weekend,is_leap_year,is_year_start,period_label
1,2019-01-01,1,Tuesday,2,1,1,January,Q1,2019,2010s,false,false,true,Pre-Pandemic
2,2019-01-02,2,Wednesday,3,1,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
3,2019-01-03,3,Thursday,4,1,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
4,2019-01-04,4,Friday,5,1,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
5,2019-01-05,5,Saturday,6,1,1,January,Q1,2019,2010s,true,false,false,Pre-Pandemic
6,2019-01-06,6,Sunday,7,1,1,January,Q1,2019,2010s,true,false,false,Pre-Pandemic
7,2019-01-07,7,Monday,1,2,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
8,2019-01-08,8,Tuesday,2,2,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
9,2019-01-09,9,Wednesday,3,2,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
10,2019-01-10,10,Thursday,4,2,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
11,2019-01-11,11,Friday,5,2,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
12,2019-01-12,12,Saturday,6,2,1,January,Q1,2019,2010s,true,false,false,Pre-Pandemic
13,2019-01-13,13,Sunday,7,2,1,January,Q1,2019,2010s,true,false,false,Pre-Pandemic
14,2019-01-14,14,Monday,1,3,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
15,2019-01-15,15,Tuesday,2,3,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
16,2019-01-16,16,Wednesday,3,3,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
17,2019-01-17,17,Thursday,4,3,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
18,2019-01-18,18,Friday,5,3,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
19,2019-01-19,19,Saturday,6,3,1,January,Q1,2019,2010s,true,false,false,Pre-Pandemic
20,2019-01-20,20,Sunday,7,3,1,January,Q1,2019,2010s,true,false,false,Pre-Pandemic
21,2019-01-21,21,Monday,1,4,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
22,2019-01-22,22,Tuesday,2,4,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
23,2019-01-23,23,Wednesday,3,4,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
24,2019-01-24,24,Thursday,4,4,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
25,2019-01-25,25,Friday,5,4,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
26,2019-01-26,26,Saturday,6,4,1,January,Q1,2019,2010s,true,false,false,Pre-Pandemic
27,2019-01-27,27,Sunday,7,4,1,January,Q1,2019,2010s,true,false,false,Pre-Pandemic
28,2019-01-28,28,Monday,1,5,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
29,2019-01-29,29,Tuesday,2,5,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
30,2019-01-30,30,Wednesday,3,5,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
31,2019-01-31,31,Thursday,4,5,1,January,Q1,2019,2010s,false,false,false,Pre-Pandemic
32,2019-02-01,1,Friday,5,5,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
33,2019-02-02,2,Saturday,6,5,2,February,Q1,2019,2010s,true,false,false,Pre-Pandemic
34,2019-02-03,3,Sunday,7,5,2,February,Q1,2019,2010s,true,false,false,Pre-Pandemic
35,2019-02-04,4,Monday,1,6,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
36,2019-02-05,5,Tuesday,2,6,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
37,2019-02-06,6,Wednesday,3,6,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
38,2019-02-07,7,Thursday,4,6,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
39,2019-02-08,8,Friday,5,6,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
40,2019-02-09,9,Saturday,6,6,2,February,Q1,2019,2010s,true,false,false,Pre-Pandemic
41,2019-02-10,10,Sunday,7,6,2,February,Q1,2019,2010s,true,false,false,Pre-Pandemic
42,2019-02-11,11,Monday,1,7,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
43,2019-02-12,12,Tuesday,2,7,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
44,2019-02-13,13,Wednesday,3,7,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
45,2019-02-14,14,Thursday,4,7,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
46,2019-02-15,15,Friday,5,7,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
47,2019-02-16,16,Saturday,6,7,2,February,Q1,2019,2010s,true,false,false,Pre-Pandemic
48,2019-02-17,17,Sunday,7,7,2,February,Q1,2019,2010s,true,false,false,Pre-Pandemic
49,2019-02-18,18,Monday,1,8,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
50,2019-02-19,19,Tuesday,2,8,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
51,2019-02-20,20,Wednesday,3,8,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
52,2019-02-21,21,Thursday,4,8,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
53,2019-02-22,22,Friday,5,8,2,February,Q1,2019,2010s,false,false,false,Pre-Pandemic
