metro_area_id,metro_area_name,state_code
10100,"Aberdeen, SD Micro Area",SD
10140,"Aberdeen, WA Micro Area",WA
10180,"Abilene, TX Metro Area",TX
10220,"Ada, OK Micro Area",OK
10300,"Adrian, MI Micro Area",MI
10380,"Aguadilla-Isabela, PR Metro Area",PR
10420,"Akron, OH Metro Area",OH
10460,"Alamogordo, NM Micro Area",NM
10500,"Albany, GA Metro Area",GA
10540,"Albany-Lebanon, OR Metro Area",OR
10580,"Albany-Schenectady-Troy, NY Metro Area",NY
10620,"Albemarle, NC Micro Area",NC
10660,"Albert Lea, MN Micro Area",MN
10700,"Albertville, AL Micro Area",AL
10740,"Albuquerque, NM Metro Area",NM
10760,"Alexander City, AL Micro Area",AL
10780,"Alexandria, LA Metro Area",LA
10820,"Alexandria, MN Micro Area",MN
10860,"Alice, TX Micro Area",TX
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",PA
10940,"Alma, MI Micro Area",MI
10980,"Alpena, MI Micro Area",MI
11020,"Altoona, PA Metro Area",PA
11060,"Altus, OK Micro Area",OK
11100,"Amarillo, TX Metro Area",TX
11140,"Americus, GA Micro Area",GA
11180,"Ames, IA Metro Area",IA
11220,"Amsterdam, NY Micro Area",NY
11260,"Anchorage, AK Metro Area",AK
11380,"Andrews, TX Micro Area",TX
11420,"Angola, IN Micro Area",IN
11460,"Ann Arbor, MI Metro Area",MI
11500,"Anniston-Oxford, AL Metro Area",AL
11540,"Appleton, WI Metro Area",WI
11580,"Arcadia, FL Micro Area",FL
11620,"Ardmore, OK Micro Area",OK
11640,"Arecibo, PR Metro Area",PR
11660,"Arkadelphia, AR Micro Area",AR
11700,"Asheville, NC Metro Area",NC
11740,"Ashland, OH Micro Area",OH
11780,"Ashtabula, OH Micro Area",OH
11820,"Astoria, OR Micro Area",OR
11860,"Atchison, KS Micro Area",KS
11900,"Athens, OH Micro Area",OH
11940,"Athens, TN Micro Area",TN
11980,"Athens, TX Micro Area",TX
12020,"Athens-Clarke County, GA Metro Area",GA
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",GA
12100,"Atlantic City-Hammonton, NJ Metro Area",NJ
12120,"Atmore, AL Micro Area",AL
12140,"Auburn, IN Micro Area",IN
12180,"Auburn, NY Micro Area",NY
12220,"Auburn-Opelika, AL Metro Area",AL
12260,"Augusta-Richmond County, GA-SC Metro Area",GA
12300,"Augusta-Waterville, ME Micro Area",ME
12380,"Austin, MN Micro Area",MN
12420,"Austin-Round Rock-Georgetown, TX Metro Area",TX
12460,"Bainbridge, GA Micro Area",GA
12540,"Bakersfield, CA Metro Area",CA
12580,"Baltimore-Columbia-Towson, MD Metro Area",MD
12620,"Bangor, ME Metro Area",ME
12660,"Baraboo, WI Micro Area",WI
12680,"Bardstown, KY Micro Area",KY
12700,"Barnstable Town, MA Metro Area",MA
12740,"Barre, VT Micro Area",VT
12780,"Bartlesville, OK Micro Area",OK
12860,"Batavia, NY Micro Area",NY
12900,"Batesville, AR Micro Area",AR
12940,"Baton Rouge, LA Metro Area",LA
12980,"Battle Creek, MI Metro Area",MI
13020,"Bay City, MI Metro Area",MI
13060,"Bay City, TX Micro Area",TX
13100,"Beatrice, NE Micro Area",NE
13140,"Beaumont-Port Arthur, TX Metro Area",TX
13180,"Beaver Dam, WI Micro Area",WI
13220,"Beckley, WV Metro Area",WV
13260,"Bedford, IN Micro Area",IN
13300,"Beeville, TX Micro Area",TX
13340,"Bellefontaine, OH Micro Area",OH
13380,"Bellingham, WA Metro Area",WA
13420,"Bemidji, MN Micro Area",MN
13460,"Bend, OR Metro Area",OR
13500,"Bennettsville, SC Micro Area",SC
13540,"Bennington, VT Micro Area",VT
13620,"Berlin, NH Micro Area",NH
13660,"Big Rapids, MI Micro Area",MI
13700,"Big Spring, TX Micro Area",TX
13720,"Big Stone Gap, VA Micro Area",VA
13740,"Billings, MT Metro Area",MT
13780,"Binghamton, NY Metro Area",NY
13820,"Birmingham-Hoover, AL Metro Area",AL
13900,"Bismarck, ND Metro Area",ND
13940,"Blackfoot, ID Micro Area",ID
13980,"Blacksburg-Christiansburg, VA Metro Area",VA
14010,"Bloomington, IL Metro Area",IL
14020,"Bloomington, IN Metro Area",IN
14100,"Bloomsburg-Berwick, PA Metro Area",PA
14140,"Bluefield, WV-VA Micro Area",WV
14160,"Bluffton, IN Micro Area",IN
14180,"Blytheville, AR Micro Area",AR
14220,"Bogalusa, LA Micro Area",LA
14260,"Boise City, ID Metro Area",ID
14300,"Bonham, TX Micro Area",TX
14380,"Boone, NC Micro Area",NC
14420,"Borger, TX Micro Area",TX
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",MA
14500,"Boulder, CO Metro Area",CO
14540,"Bowling Green, KY Metro Area",KY
14580,"Bozeman, MT Micro Area",MT
14620,"Bradford, PA Micro Area",PA
14660,"Brainerd, MN Micro Area",MN
14700,"Branson, MO Micro Area",MO
14720,"Breckenridge, CO Micro Area",CO
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",WA
14780,"Brenham, TX Micro Area",TX
14820,"Brevard, NC Micro Area",NC
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",CT
15020,"Brookhaven, MS Micro Area",MS
15060,"Brookings, OR Micro Area",OR
15100,"Brookings, SD Micro Area",SD
15140,"Brownsville, TN Micro Area",TN
15180,"Brownsville-Harlingen, TX Metro Area",TX
15220,"Brownwood, TX Micro Area",TX
15260,"Brunswick, GA Metro Area",GA
15340,"Bucyrus-Galion, OH Micro Area",OH
15380,"Buffalo-Cheektowaga, NY Metro Area",NY
15420,"Burley, ID Micro Area",ID
15460,"Burlington, IA-IL Micro Area",IA
15500,"Burlington, NC Metro Area",NC
15540,"Burlington-South Burlington, VT Metro Area",VT
15580,"Butte-Silver Bow, MT Micro Area",MT
15620,"Cadillac, MI Micro Area",MI
15660,"Calhoun, GA Micro Area",GA
15680,"California-Lexington Park, MD Metro Area",MD
15700,"Cambridge, MD Micro Area",MD
15740,"Cambridge, OH Micro Area",OH
15780,"Camden, AR Micro Area",AR
15820,"Campbellsville, KY Micro Area",KY
15860,"Cañon City, CO Micro Area",CO
15940,"Canton-Massillon, OH Metro Area",OH
15980,"Cape Coral-Fort Myers, FL Metro Area",FL
16020,"Cape Girardeau, MO-IL Metro Area",MO
16060,"Carbondale-Marion, IL Metro Area",IL
16100,"Carlsbad-Artesia, NM Micro Area",NM
16140,"Carroll, IA Micro Area",IA
16180,"Carson City, NV Metro Area",NV
16220,"Casper, WY Metro Area",WY
16260,"Cedar City, UT Micro Area",UT
16300,"Cedar Rapids, IA Metro Area",IA
16340,"Cedartown, GA Micro Area",GA
16380,"Celina, OH Micro Area",OH
16420,"Central City, KY Micro Area",KY
16460,"Centralia, IL Micro Area",IL
16500,"Centralia, WA Micro Area",WA
16540,"Chambersburg-Waynesboro, PA Metro Area",PA
16580,"Champaign-Urbana, IL Metro Area",IL
16620,"Charleston, WV Metro Area",WV
16660,"Charleston-Mattoon, IL Micro Area",IL
16700,"Charleston-North Charleston, SC Metro Area",SC
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",NC
16820,"Charlottesville, VA Metro Area",VA
16860,"Chattanooga, TN-GA Metro Area",TN
16940,"Cheyenne, WY Metro Area",WY
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",IL
17020,"Chico, CA Metro Area",CA
17060,"Chillicothe, OH Micro Area",OH
17140,"Cincinnati, OH-KY-IN Metro Area",OH
17220,"Clarksburg, WV Micro Area",WV
17260,"Clarksdale, MS Micro Area",MS
17300,"Clarksville, TN-KY Metro Area",TN
17340,"Clearlake, CA Micro Area",CA
17380,"Cleveland, MS Micro Area",MS
17420,"Cleveland, TN Metro Area",TN
17460,"Cleveland-Elyria, OH Metro Area",OH
17500,"Clewiston, FL Micro Area",FL
17540,"Clinton, IA Micro Area",IA
17580,"Clovis, NM Micro Area",NM
17620,"Coamo, PR Micro Area",PR
17640,"Coco, PR Micro Area",PR
17660,"Coeur d'Alene, ID Metro Area",ID
17700,"Coffeyville, KS Micro Area",KS
17740,"Coldwater, MI Micro Area",MI
17780,"College Station-Bryan, TX Metro Area",TX
17820,"Colorado Springs, CO Metro Area",CO
17860,"Columbia, MO Metro Area",MO
17900,"Columbia, SC Metro Area",SC
17980,"Columbus, GA-AL Metro Area",GA
18020,"Columbus, IN Metro Area",IN
18060,"Columbus, MS Micro Area",MS
18100,"Columbus, NE Micro Area",NE
18140,"Columbus, OH Metro Area",OH
18180,"Concord, NH Micro Area",NH
18220,"Connersville, IN Micro Area",IN
18260,"Cookeville, TN Micro Area",TN
18300,"Coos Bay, OR Micro Area",OR
18380,"Cordele, GA Micro Area",GA
18420,"Corinth, MS Micro Area",MS
18460,"Cornelia, GA Micro Area",GA
18500,"Corning, NY Micro Area",NY
18580,"Corpus Christi, TX Metro Area",TX
18620,"Corsicana, TX Micro Area",TX
18660,"Cortland, NY Micro Area",NY
18700,"Corvallis, OR Metro Area",OR
18740,"Coshocton, OH Micro Area",OH
18780,"Craig, CO Micro Area",CO
18820,"Crawfordsville, IN Micro Area",IN
18860,"Crescent City, CA Micro Area",CA
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",FL
18900,"Crossville, TN Micro Area",TN
18980,"Cullman, AL Micro Area",AL
19000,"Cullowhee, NC Micro Area",NC
19060,"Cumberland, MD-WV Metro Area",MD
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",TX
19140,"Dalton, GA Metro Area",GA
19180,"Danville, IL Metro Area",IL
19220,"Danville, KY Micro Area",KY
19260,"Danville, VA Micro Area",VA
19300,"Daphne-Fairhope-Foley, AL Metro Area",AL
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",IA
19420,"Dayton, TN Micro Area",TN
19430,"Dayton-Kettering, OH Metro Area",OH
19460,"Decatur, AL Metro Area",AL
19500,"Decatur, IL Metro Area",IL
19540,"Decatur, IN Micro Area",IN
19580,"Defiance, OH Micro Area",OH
19620,"Del Rio, TX Micro Area",TX
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",FL
19700,"Deming, NM Micro Area",NM
19740,"Denver-Aurora-Lakewood, CO Metro Area",CO
19760,"DeRidder, LA Micro Area",LA
19780,"Des Moines-West Des Moines, IA Metro Area",IA
19820,"Detroit-Warren-Dearborn, MI Metro Area",MI
19860,"Dickinson, ND Micro Area",ND
