fact_id,emp_total,in_labor_force,civilian_labor_force,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,metro_area_id,geo_level_id,brd_total,with_internet_subscription,dial_up_with_no_other_internet_subscription,broadband_of_any_type,cellular_data_plan,cellular_data_plan_only,broadband_cable_fiber_or_dsl,broadband_cable_fiber_or_dsl_only,satellite_internet_service,satellite_internet_service_only,other_service_only,internet_access_without_subscription,no_internet_access,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,long_distance_train_or_commuter_rail,light_rail_streetcar_or_trolley,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_from_home,other_aggregate,worked_from_home_extended,date_id
1,34856,16086,16076,14549,1527,10,18770,13720,2,16553,10855,142,10713,6857,1543,8644,3411,750,294,3,1928,3770,14061,13190,11858,1332,810,263,259,150,150,0,0,0,0,0,286,46,389,1
2,142180,94196,94003,90874,3129,193,47984,13740,1,74670,63009,454,62555,46560,7787,50625,14174,5780,1118,189,2233,9428,89479,80932,72995,7937,6010,728,1199,551,538,0,0,0,13,392,2808,893,3903,1
3,200034,116589,116538,109310,7228,51,83445,13780,1,98579,81436,536,80900,59504,7473,70615,19961,4258,644,33,2692,14451,106620,95877,86776,9101,7357,1016,728,2856,2637,186,23,0,10,254,3867,630,3136,1
4,863519,528932,528083,498170,29913,849,334587,13820,1,417562,335734,1197,334537,270490,51832,267444,56201,29160,3444,603,13349,68479,490858,459964,414441,45523,34887,6119,4517,2828,2689,12,25,86,16,465,5398,4406,17797,1
5,101328,71970,71669,70138,1531,301,29358,13900,1,53810,44526,221,44305,35268,4632,38487,8408,2460,217,2,2392,6892,69020,64424,58801,5623,3614,965,1044,139,135,0,0,0,4,142,1064,555,2696,1
6,33201,20744,20729,19732,997,15,12457,13940,2,14989,12939,142,12797,10553,2548,8341,1614,2099,457,70,323,1727,19359,17213,14429,2784,1987,450,347,529,529,0,0,0,0,63,401,247,906,1
7,143344,81170,80857,77138,3719,313,62174,13980,1,62701,51416,311,51105,40672,7231,39331,8390,5500,1099,271,2401,8884,75320,65829,60323,5506,4183,869,454,2124,1969,103,0,0,52,650,3250,655,2812,1
8,139526,91719,91627,88705,2922,92,47807,14010,1,65845,54639,417,54222,39044,7070,45243,14036,3146,662,104,3819,7387,87703,77813,70859,6954,6120,466,368,933,895,10,10,0,18,356,3804,695,4102,1
9,142861,88067,87960,83182,4778,107,54794,14020,1,64400,54151,204,53947,45100,6091,45470,8035,3765,394,83,2912,7337,81058,67384,59320,8064,6193,1052,819,2775,2755,18,2,0,0,1173,5700,620,3406,1
10,70553,40813,40766,39125,1641,47,29740,14100,1,33776,26348,224,26124,20573,4363,20164,4804,1973,395,59,1046,6382,38719,35170,32362,2808,2248,347,213,123,120,0,0,0,3,77,1421,280,1648,1
