metro_area,total,with_internet_subscription,dial_up_with_no_other_internet_subscription,broadband_of_any_type,cellular_data_plan,cellular_data_plan_only,broadband_cable_fiber_or_dsl,broadband_cable_fiber_or_dsl_only,satellite_internet_service,satellite_internet_service_only,other_service_only,internet_access_without_subscription,no_internet_access,metro_area_id,year
"Big Stone Gap, VA Micro Area",16553,10855,142,10713,6857,1543,8644,3411,750,294,3,1928,3770,13720,2019
"Billings, MT Metro Area",74670,63009,454,62555,46560,7787,50625,14174,5780,1118,189,2233,9428,13740,2019
"Binghamton, NY Metro Area",98579,81436,536,80900,59504,7473,70615,19961,4258,644,33,2692,14451,13780,2019
"Birmingham-Hoover, AL Metro Area",417562,335734,1197,334537,270490,51832,267444,56201,29160,3444,603,13349,68479,13820,2019
"Bismarck, ND Metro Area",53810,44526,221,44305,35268,4632,38487,8408,2460,217,2,2392,6892,13900,2019
"Blackfoot, ID Micro Area",14989,12939,142,12797,10553,2548,8341,1614,2099,457,70,323,1727,13940,2019
"Blacksburg-Christiansburg, VA Metro Area",62701,51416,311,51105,40672,7231,39331,8390,5500,1099,271,2401,8884,13980,2019
"Bloomington, IL Metro Area",65845,54639,417,54222,39044,7070,45243,14036,3146,662,104,3819,7387,14010,2019
"Bloomington, IN Metro Area",64400,54151,204,53947,45100,6091,45470,8035,3765,394,83,2912,7337,14020,2019
"Bloomsburg-Berwick, PA Metro Area",33776,26348,224,26124,20573,4363,20164,4804,1973,395,59,1046,6382,14100,2019
"Bluefield, WV-VA Micro Area",44114,31848,133,31715,23881,5201,24307,6692,3315,584,78,1358,10908,14140,2019
"Blytheville, AR Micro Area",16389,11950,52,11898,9503,2498,8097,1962,1898,313,27,1014,3425,14180,2019
"Bogalusa, LA Micro Area",17613,11913,52,11861,10220,3687,6312,1125,1827,416,22,293,5407,14220,2019
"Boise City, ID Metro Area",260369,218392,1421,216971,178532,22681,180552,33373,26301,2642,328,7987,33990,14260,2019
"Bonham, TX Micro Area",12453,9021,40,8981,7105,1784,5046,1192,2410,504,99,511,2921,14300,2019
"Boone, NC Micro Area",21077,17518,45,17473,13541,1515,15373,3608,997,224,16,779,2780,14380,2019
"Borger, TX Micro Area",6929,5507,19,5488,4676,834,4150,604,823,150,6,203,1219,14420,2019
"Boston-Cambridge-Newton, MA-NH Metro Area",1831217,1618692,4127,1614565,1314925,117858,1475394,284283,44139,3392,2062,37084,175441,14460,2019
"Boulder, CO Metro Area",127415,116342,310,116032,95399,7627,104623,18772,7273,915,153,3249,7824,14500,2019
"Bowling Green, KY Metro Area",65672,53916,312,53604,45028,8481,41958,7523,4408,659,6,1910,9846,14540,2019
"Bozeman, MT Micro Area",43777,38329,213,38116,32161,4183,30876,5058,3801,619,77,1534,3914,14580,2019
"Bradford, PA Micro Area",17147,13234,114,13120,8748,1320,11097,3852,923,228,51,584,3329,14620,2019
"Brainerd, MN Micro Area",39984,32811,353,32458,24319,5008,24878,6660,3337,1011,39,1019,6154,14660,2019
"Branson, MO Micro Area",22272,18088,210,17878,14006,2866,13776,3249,1563,344,21,897,3287,14700,2019
