metro_area,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,long_distance_train_or_commuter_rail,light_rail_streetcar_or_trolley,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_from_home,other_aggregate,worked_from_home_extended,metro_area_id,year
"Big Stone Gap, VA Micro Area",14061,13190,11858,1332,810,263,259,150,150,0,0,0,0,0,286,46,389,13720,2019
"Billings, MT Metro Area",89479,80932,72995,7937,6010,728,1199,551,538,0,0,0,13,392,2808,893,3903,13740,2019
"Binghamton, NY Metro Area",106620,95877,86776,9101,7357,1016,728,2856,2637,186,23,0,10,254,3867,630,3136,13780,2019
"Birmingham-Hoover, AL Metro Area",490858,459964,414441,45523,34887,6119,4517,2828,2689,12,25,86,16,465,5398,4406,17797,13820,2019
"Bismarck, ND Metro Area",69020,64424,58801,5623,3614,965,1044,139,135,0,0,0,4,142,1064,555,2696,13900,2019
"Blackfoot, ID Micro Area",19359,17213,14429,2784,1987,450,347,529,529,0,0,0,0,63,401,247,906,13940,2019
"Blacksburg-Christiansburg, VA Metro Area",75320,65829,60323,5506,4183,869,454,2124,1969,103,0,0,52,650,3250,655,2812,13980,2019
"Bloomington, IL Metro Area",87703,77813,70859,6954,6120,466,368,933,895,10,10,0,18,356,3804,695,4102,14010,2019
"Bloomington, IN Metro Area",81058,67384,59320,8064,6193,1052,819,2775,2755,18,2,0,0,1173,5700,620,3406,14020,2019
"Bloomsburg-Berwick, PA Metro Area",38719,35170,32362,2808,2248,347,213,123,120,0,0,0,3,77,1421,280,1648,14100,2019
"Bluefield, WV-VA Micro Area",38613,36485,33213,3272,2520,534,218,102,84,8,0,10,0,2,620,253,1151,14140,2019
"Blytheville, AR Micro Area",16733,16232,13835,2397,1746,465,186,56,49,7,0,0,0,12,55,190,188,14180,2019
"Bogalusa, LA Micro Area",17078,15915,13948,1967,1585,293,89,36,36,0,0,0,0,0,287,362,478,14220,2019
"Boise City, ID Metro Area",336417,298631,268635,29996,22591,4066,3339,1199,1081,43,41,8,26,4186,5774,3613,23014,14260,2019
"Bonham, TX Micro Area",13800,12500,11088,1412,1130,225,57,0,0,0,0,0,0,7,306,181,806,14300,2019
"Boone, NC Micro Area",25148,21018,18764,2254,1762,371,121,437,437,0,0,0,0,73,1506,122,1992,14380,2019
