metro_area,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,subway_or_rail,taxi,motorcycle,bicycle,walked,other_means,worked_from_home,other,worked_from_home_extended,metro_area_id,year
"Aberdeen, SD Micro Area",22313,19845,18137,1708,1184,365,159,2,0,0,0,2,0,132,926,10100,2020
"Aberdeen, WA Micro Area",27878,24406,21742,2664,2286,227,151,269,269,0,0,0,0,114,875,10140,2020
"Abilene, TX Metro Area",78892,70902,62386,8516,6386,1095,1035,467,464,0,0,0,3,200,1737,10180,2020
"Ada, OK Micro Area",16840,15773,14185,1588,1266,187,135,126,126,0,0,0,0,27,421,10220,2020
"Adrian, MI Micro Area",43541,39917,36533,3384,2547,471,366,136,124,0,0,0,12,172,1173,10300,2020
"Aguadilla-Isabela, PR Metro Area",78691,72749,65218,7531,5024,1786,721,366,131,50,19,74,92,273,2228,10380,2020
"Akron, OH Metro Area",344203,309068,284695,24373,18750,3193,2430,3650,3593,11,0,34,12,349,5249,10420,2020
"Alamogordo, NM Micro Area",26030,23756,21223,2533,1795,435,303,115,107,0,0,8,0,32,753,10460,2020
"Albany, GA Metro Area",60516,55369,48833,6536,4865,1184,487,561,557,0,0,4,0,96,1086,10500,2020
"Albany-Lebanon, OR Metro Area",55483,49876,44243,5633,4326,788,519,71,51,4,14,2,0,316,1067,10540,2020
"Albany-Schenectady-Troy, NY Metro Area",440700,376617,342326,34291,28529,3838,1924,14719,13771,251,511,65,121,1038,14446,10580,2020
"Albemarle, NC Micro Area",28148,26316,23681,2635,1996,442,197,32,32,0,0,0,0,0,354,10620,2020
"Albert Lea, MN Micro Area",14602,13276,11867,1409,1066,285,58,77,75,2,0,0,0,77,433,10660,2020
"Albertville, AL Micro Area",39287,37406,33782,3624,2503,811,310,177,177,0,0,0,0,2,285,10700,2020
"Albuquerque, NM Metro Area",416188,368051,327861,40190,30229,6168,3793,5614,4791,22,710,29,62,2847,6786,10740,2020
"Alexander City, AL Micro Area",19346,18276,16137,2139,1679,271,189,42,42,0,0,0,0,0,198,10760,2020
"Alexandria, LA Metro Area",62006,55840,50533,5307,4246,565,496,1048,1037,11,0,0,0,59,1607,10780,2020
"Alexandria, MN Micro Area",19196,16914,15872,1042,831,135,76,79,74,0,0,0,5,126,379,10820,2020
"Alice, TX Micro Area",20143,18477,16436,2041,1365,461,215,3,3,0,0,0,0,0,458,10860,2020
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",408156,360684,327777,32907,25306,4719,2882,6403,5737,257,323,42,44,671,9917,10900,2020
"Alma, MI Micro Area",16287,14698,13207,1491,1100,189,202,79,79,0,0,0,0,78,519,10940,2020
"Alpena, MI Micro Area",11903,10739,10001,738,668,55,15,83,83,0,0,0,0,97,244,10980,2020
"Altoona, PA Metro Area",55225,50268,45888,4380,3446,408,526,669,662,0,7,0,0,142,1684,11020,2020
"Altus, OK Micro Area",11411,10698,9368,1330,1039,201,90,2,2,0,0,0,0,27,179,11060,2020
"Amarillo, TX Metro Area",124068,115718,102166,13552,9829,2234,1489,328,328,0,0,0,0,247,2032,11100,2020
"Americus, GA Micro Area",14372,13475,11600,1875,1433,273,169,0,0,0,0,0,0,1,210,11140,2020
"Ames, IA Metro Area",64136,52039,47316,4723,3918,506,299,2807,2807,0,0,0,0,1053,3653,11180,2020
"Amsterdam, NY Micro Area",21836,18968,17202,1766,1478,208,80,71,53,18,0,0,0,61,814,11220,2020
"Anchorage, AK Metro Area",194009,167790,144736,23054,17685,2951,2418,2615,2592,2,0,0,21,1736,4808,11260,2020
"Andrews, TX Micro Area",8574,8138,6952,1186,634,68,484,4,4,0,0,0,0,0,36,11380,2020
"Angola, IN Micro Area",16790,15392,13591,1801,1414,200,187,24,24,0,0,0,0,85,520,11420,2020
"Ann Arbor, MI Metro Area",184500,141492,128343,13149,10447,1711,991,8642,8455,143,4,40,0,2717,13652,11460,2020
"Anniston-Oxford, AL Metro Area",47349,44995,40053,4942,3832,481,629,289,246,0,0,43,0,0,576,11500,2020
"Appleton, WI Metro Area",126593,114816,106821,7995,5992,1273,730,522,517,0,0,0,5,362,2865,11540,2020
"Arcadia, FL Micro Area",13151,11543,9021,2522,1434,622,466,170,170,0,0,0,0,54,362,11580,2020
"Ardmore, OK Micro Area",24732,23134,20350,2784,2311,399,74,71,71,0,0,0,0,23,365,11620,2020
"Arecibo, PR Metro Area",50662,47940,45794,2146,1584,323,239,231,143,0,0,71,17,5,815,11640,2020
"Arkadelphia, AR Micro Area",10127,9087,7783,1304,784,333,187,47,47,0,0,0,0,9,541,11660,2020
"Asheville, NC Metro Area",216891,188444,171251,17193,12827,2963,1403,1068,951,17,0,16,84,473,4233,11700,2020
"Ashland, OH Micro Area",25399,22639,20895,1744,1432,245,67,70,70,0,0,0,0,138,1053,11740,2020
"Ashtabula, OH Micro Area",39579,36925,33419,3506,2663,383,460,76,76,0,0,0,0,4,791,11780,2020
"Astoria, OR Micro Area",18032,14764,13111,1653,1318,207,128,186,186,0,0,0,0,203,1511,11820,2020
"Atchison, KS Micro Area",7704,6839,6306,533,449,72,12,3,3,0,0,0,0,0,453,11860,2020
"Athens, OH Micro Area",28372,22128,20262,1866,1646,108,112,289,269,0,0,0,20,316,3798,11900,2020
"Athens, TN Micro Area",21856,20600,18817,1783,1137,479,167,48,21,0,0,0,27,0,221,11940,2020
"Athens, TX Micro Area",31452,28806,25501,3305,2734,444,127,148,16,0,0,132,0,0,491,11980,2020
"Athens-Clarke County, GA Metro Area",98781,83627,75181,8446,6278,1561,607,2038,2025,13,0,0,0,762,3571,12020,2020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2896704,2436522,2177215,259307,191036,41511,26760,80649,52161,23762,3160,1208,358,5454,36505,12060,2020
"Atlantic City-Hammonton, NJ Metro Area",122536,104046,93444,10602,8230,1199,1173,5498,5052,70,200,152,24,498,4536,12100,2020
"Atmore, AL Micro Area",12374,12146,11296,850,604,140,106,41,41,0,0,0,0,12,68,12120,2020
"Auburn, IN Micro Area",21261,20258,18264,1994,1567,312,115,5,5,0,0,0,0,42,166,12140,2020
"Auburn, NY Micro Area",34920,31212,29098,2114,1868,149,97,253,246,5,0,2,0,33,1360,12180,2020
"Auburn-Opelika, AL Metro Area",74480,68155,61846,6309,5034,918,357,466,452,0,0,0,14,215,1708,12220,2020
"Augusta-Richmond County, GA-SC Metro Area",264277,241600,218260,23340,17783,3356,2201,1929,1818,0,43,0,68,367,3717,12260,2020
"Augusta-Waterville, ME Micro Area",59308,52467,46586,5881,4665,504,712,54,46,0,0,0,8,29,2207,12300,2020
"Austin, MN Micro Area",18770,16918,14715,2203,1184,528,491,332,332,0,0,0,0,85,591,12380,2020
"Austin-Round Rock-Georgetown, TX Metro Area",1148177,941059,839586,101473,77091,14716,9666,19572,17553,606,1138,187,88,7899,21988,12420,2020
"Bainbridge, GA Micro Area",10233,9775,8353,1422,1224,152,46,6,6,0,0,0,0,2,51,12460,2020
"Bakersfield, CA Metro Area",339931,313924,272448,41476,27026,7292,7158,2266,2146,41,45,0,34,925,3680,12540,2020
"Baltimore-Columbia-Towson, MD Metro Area",1405089,1159966,1049436,110530,86771,13844,9915,80190,54190,12041,12302,1294,363,3682,33372,12580,2020
"Bangor, ME Metro Area",72067,63618,57245,6373,5043,832,498,302,292,10,0,0,0,191,2511,12620,2020
"Baraboo, WI Micro Area",33730,30430,27641,2789,2060,478,251,37,31,0,0,4,2,107,1123,12660,2020
"Bardstown, KY Micro Area",21675,20122,18439,1683,1245,280,158,0,0,0,0,0,0,0,245,12680,2020
"Barnstable Town, MA Metro Area",103882,88831,80962,7869,6573,950,346,1316,711,170,79,27,329,473,2382,12700,2020
"Barre, VT Micro Area",30879,25325,22635,2690,2189,385,116,330,277,50,0,0,3,113,1750,12740,2020
"Bartlesville, OK Micro Area",22149,20494,17948,2546,2013,374,159,16,16,0,0,0,0,71,362,12780,2020
"Batavia, NY Micro Area",28502,25884,23464,2420,1803,416,201,45,17,16,6,0,6,107,1257,12860,2020
"Batesville, AR Micro Area",22095,20759,18369,2390,1861,378,151,38,38,0,0,0,0,37,295,12900,2020
"Baton Rouge, LA Metro Area",392376,363566,330452,33114,24187,5257,3670,2871,2771,34,0,39,27,1225,5937,12940,2020
"Battle Creek, MI Metro Area",58308,52759,47612,5147,4109,670,368,630,602,6,0,0,22,250,1699,12980,2020
"Bay City, MI Metro Area",45862,41840,38835,3005,2327,346,332,254,254,0,0,0,0,405,759,13020,2020
"Bay City, TX Micro Area",15262,14317,13011,1306,1009,255,42,23,23,0,0,0,0,99,111,13060,2020
"Beatrice, NE Micro Area",10690,9604,8762,842,609,177,56,11,11,0,0,0,0,19,414,13100,2020
"Beaumont-Port Arthur, TX Metro Area",163042,155982,142846,13136,9746,1944,1446,748,698,14,0,36,0,84,1232,13140,2020
"Beaver Dam, WI Micro Area",45317,40960,37409,3551,2908,428,215,36,30,0,0,0,6,57,1592,13180,2020
"Beckley, WV Metro Area",43126,39665,35474,4191,3595,324,272,60,60,0,0,0,0,20,1054,13220,2020
"Bedford, IN Micro Area",20820,19313,17488,1825,1564,68,193,16,16,0,0,0,0,0,397,13260,2020
"Beeville, TX Micro Area",9939,9256,8518,738,590,62,86,0,0,0,0,0,0,19,103,13300,2020
"Bellefontaine, OH Micro Area",20643,19070,17385,1685,1313,216,156,63,63,0,0,0,0,48,489,13340,2020
"Bellingham, WA Metro Area",107224,89878,81084,8794,6771,912,1111,2524,2459,28,6,0,31,2330,4012,13380,2020
"Bemidji, MN Micro Area",21098,18107,15796,2311,1798,376,137,374,360,0,0,0,14,62,892,13420,2020
"Bend, OR Metro Area",92518,75425,66902,8523,6869,969,685,477,462,0,15,0,0,1751,1881,13460,2020
"Bennettsville, SC Micro Area",8543,8255,7417,838,606,124,108,14,14,0,0,0,0,13,13,13500,2020
"Bennington, VT Micro Area",16613,13481,12437,1044,833,145,66,67,47,13,7,0,0,21,790,13540,2020
"Berlin, NH Micro Area",14072,12255,10865,1390,1196,76,118,44,14,11,0,0,19,14,281,13620,2020
"Big Rapids, MI Micro Area",17891,15824,14145,1679,1242,249,188,61,61,0,0,0,0,1,839,13660,2020
"Big Spring, TX Micro Area",14070,13335,11318,2017,1364,536,117,14,14,0,0,0,0,8,202,13700,2020
"Big Stone Gap, VA Micro Area",14131,13182,12011,1171,719,219,233,155,155,0,0,0,0,0,276,13720,2020
"Billings, MT Metro Area",90126,80759,73029,7730,5869,875,986,787,766,0,0,0,21,418,2383,13740,2020
"Binghamton, NY Metro Area",103298,91415,82484,8931,7073,1037,821,2571,2362,182,17,0,10,371,3464,13780,2020
"Birmingham-Hoover, AL Metro Area",491470,452173,410154,42019,32842,5313,3864,2518,2417,11,8,82,0,503,5544,13820,2020
"Bismarck, ND Metro Area",68046,62994,56987,6007,4127,955,925,115,111,0,0,0,4,147,881,13900,2020
"Blackfoot, ID Micro Area",19650,17669,14982,2687,1820,427,440,524,524,0,0,0,0,5,253,13940,2020
"Blacksburg-Christiansburg, VA Metro Area",75220,65478,59777,5701,4266,999,436,1502,1423,21,0,0,58,519,3502,13980,2020
"Bloomington, IL Metro Area",85155,73866,67550,6316,5457,581,278,959,899,12,11,0,37,388,3616,14010,2020
"Bloomington, IN Metro Area",80927,66376,58572,7804,5823,1205,776,2063,2047,14,2,0,0,1000,4934,14020,2020
"Bloomsburg-Berwick, PA Metro Area",39166,34849,32065,2784,2237,316,231,121,118,0,0,0,3,58,1368,14100,2020
"Bluefield, WV-VA Micro Area",38471,36421,33334,3087,2397,414,276,72,66,6,0,0,0,1,600,14140,2020
"Bluffton, IN Micro Area",14038,13191,12273,918,767,103,48,62,33,8,0,0,21,37,110,14160,2020
"Blytheville, AR Micro Area",17257,16815,14599,2216,1627,474,115,42,34,8,0,0,0,0,90,14180,2020
"Bogalusa, LA Micro Area",16776,15509,13317,2192,1908,180,104,28,28,0,0,0,0,0,186,14220,2020
"Boise City, ID Metro Area",354479,306257,276754,29503,21951,4424,3128,975,892,13,38,8,24,4296,6675,14260,2020
"Bonham, TX Micro Area",14251,12482,11118,1364,1054,244,66,3,3,0,0,0,0,3,283,14300,2020
"Boone, NC Micro Area",25929,21757,19392,2365,1818,456,91,389,389,0,0,0,0,53,1457,14380,2020
"Borger, TX Micro Area",9226,8765,7399,1366,866,314,186,43,43,0,0,0,0,20,113,14420,2020
"Boston-Cambridge-Newton, MA-NH Metro Area",2579522,1840379,1661855,178524,137352,24091,17081,316460,95362,159316,53216,5491,3075,25590,135902,14460,2020
"Boulder, CO Metro Area",172227,119966,107901,12065,9211,1626,1228,8193,7924,26,0,141,102,6848,7925,14500,2020
"Bowling Green, KY Metro Area",81571,74607,65394,9213,6959,1313,941,158,158,0,0,0,0,89,2402,14540,2020
"Bozeman, MT Micro Area",62786,50410,45131,5279,3839,754,686,283,278,0,0,0,5,1366,3473,14580,2020
"Bradford, PA Micro Area",17383,15859,13846,2013,1621,270,122,79,79,0,0,0,0,10,662,14620,2020
"Brainerd, MN Micro Area",42789,37707,33748,3959,3073,473,413,148,129,3,3,1,12,193,1061,14660,2020
"Branson, MO Micro Area",25163,22609,19327,3282,2580,581,121,55,49,0,0,0,6,0,334,14700,2020
"Breckenridge, CO Micro Area",18793,13552,12513,1039,814,225,0,1433,1433,0,0,0,0,224,1156,14720,2020
"Bremerton-Silverdale-Port Orchard, WA Metro Area",128516,97434,87516,9918,7566,1529,823,10681,3588,57,43,8,6985,628,7028,14740,2020
"Brenham, TX Micro Area",15617,14120,12507,1613,1285,268,60,0,0,0,0,0,0,13,348,14780,2020
"Brevard, NC Micro Area",13617,12050,11017,1033,852,96,85,27,27,0,0,0,0,91,314,14820,2020
"Bridgeport-Stamford-Norwalk, CT Metro Area",468102,363747,325114,38633,29312,5690,3631,43414,9311,1798,31898,272,135,626,11729,14860,2020
"Brookhaven, MS Micro Area",12910,12236,11700,536,389,94,53,42,9,0,0,0,33,0,136,15020,2020
"Brookings, OR Micro Area",7715,6327,5677,650,483,68,99,12,3,9,0,0,0,51,162,15060,2020
"Brookings, SD Micro Area",18837,16158,14422,1736,1285,287,164,35,35,0,0,0,0,145,806,15100,2020
"Brownsville, TN Micro Area",7534,7110,6609,501,457,28,16,0,0,0,0,0,0,9,98,15140,2020
"Brownsville-Harlingen, TX Metro Area",162126,147575,133812,13763,9799,2647,1317,957,957,0,0,0,0,329,2640,15180,2020
"Brownwood, TX Micro Area",16509,15354,13598,1756,1473,213,70,48,48,0,0,0,0,83,290,15220,2020
"Brunswick, GA Metro Area",50965,46664,41596,5068,3778,767,523,230,197,33,0,0,0,206,529,15260,2020
"Bucyrus-Galion, OH Micro Area",18505,17249,15972,1277,1143,61,73,49,38,0,11,0,0,39,322,15340,2020
