metro_area,total,in_labor_force,civilian_labor_force,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,metro_area_id,year
"Aberdeen, SD Micro Area",33654,23594,23563,22877,686,31,10060,10100,2021
"Aberdeen, WA Micro Area",61120,30698,30609,28490,2119,89,30422,10140,2021
"Abilene, TX Metro Area",137660,85122,80930,78405,2525,4192,52538,10180,2021
"Ada, OK Micro Area",29846,18096,18096,17320,776,0,11750,10220,2021
"Adrian, MI Micro Area",80887,46941,46859,44346,2513,82,33946,10300,2021
"Aguadilla-Isabela, PR Metro Area",263742,102814,102706,87139,15567,108,160928,10380,2021
"Akron, OH Metro Area",576222,374987,374556,353066,21490,431,201235,10420,2021
"Alamogordo, NM Micro Area",53609,28328,25363,22919,2444,2965,25281,10460,2021
"Albany, GA Metro Area",117490,67960,67471,61978,5493,489,49530,10500,2021
"Albany-Lebanon, OR Metro Area",101505,61395,61331,57062,4269,64,40110,10540,2021
"Albany-Schenectady-Troy, NY Metro Area",744013,481079,479441,455453,23988,1638,262934,10580,2021
"Albemarle, NC Micro Area",50210,29762,29727,28333,1394,35,20448,10620,2021
"Albert Lea, MN Micro Area",24719,15548,15538,14895,643,10,9171,10660,2021
"Albertville, AL Micro Area",75325,42076,42034,40394,1640,42,33249,10700,2021
"Albuquerque, NM Metro Area",736634,448877,444998,418030,26968,3879,287757,10740,2021
"Alexander City, AL Micro Area",42705,21939,21860,19967,1893,79,20766,10760,2021
"Alexandria, LA Metro Area",120194,67260,66666,62641,4025,594,52934,10780,2021
"Alexandria, MN Micro Area",31068,20132,20099,19456,643,33,10936,10820,2021
"Alice, TX Micro Area",37089,20385,20385,19253,1132,0,16704,10860,2021
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",699352,448444,448146,423000,25146,298,250908,10900,2021
"Alma, MI Micro Area",34631,18049,18046,17067,979,3,16582,10940,2021
"Alpena, MI Micro Area",24120,13111,13065,12133,932,46,11009,10980,2021
"Altoona, PA Metro Area",101027,59516,59442,56563,2879,74,41511,11020,2021
"Altus, OK Micro Area",19337,12226,11187,10705,482,1039,7111,11060,2021
"Amarillo, TX Metro Area",206832,130998,130760,126476,4284,238,75834,11100,2021
"Americus, GA Micro Area",27107,15103,15078,13962,1116,25,12004,11140,2021
"Ames, IA Metro Area",105459,68832,68683,65453,3230,149,36627,11180,2021
"Amsterdam, NY Micro Area",39374,23293,23247,21755,1492,46,16081,11220,2021
"Anchorage, AK Metro Area",310358,211394,201062,189261,11801,10332,98964,11260,2021
"Andrews, TX Micro Area",13270,9283,9283,9012,271,0,3987,11380,2021
"Angola, IN Micro Area",27950,17761,17761,16593,1168,0,10189,11420,2021
"Ann Arbor, MI Metro Area",311251,200466,200251,190834,9417,215,110785,11460,2021
"Anniston-Oxford, AL Metro Area",94127,53147,52775,49073,3702,372,40980,11500,2021
"Appleton, WI Metro Area",191614,135404,135328,131336,3992,76,56210,11540,2021
"Arcadia, FL Micro Area",28293,13353,13353,12092,1261,0,14940,11580,2021
"Ardmore, OK Micro Area",45080,26598,26598,25371,1227,0,18482,11620,2021
"Arecibo, PR Metro Area",155889,62666,62469,54647,7822,197,93223,11640,2021
"Arkadelphia, AR Micro Area",17933,9976,9967,9602,365,9,7957,11660,2021
"Asheville, NC Metro Area",389948,230665,230329,222260,8069,336,159283,11700,2021
"Ashland, OH Micro Area",42093,26230,26223,25280,943,7,15863,11740,2021
"Ashtabula, OH Micro Area",78701,44658,44658,41243,3415,0,34043,11780,2021
"Astoria, OR Micro Area",33995,19985,19523,18593,930,462,14010,11820,2021
"Atchison, KS Micro Area",12926,8332,8332,7962,370,0,4594,11860,2021
"Athens, OH Micro Area",54985,30545,30418,28643,1775,127,24440,11900,2021
"Athens, TN Micro Area",43328,23750,23702,22392,1310,48,19578,11940,2021
"Athens, TX Micro Area",66252,33932,33914,31785,2129,18,32320,11980,2021
"Athens-Clarke County, GA Metro Area",175534,108532,108267,102766,5501,265,67002,12020,2021
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",4732930,3188684,3183132,3017208,165924,5552,1544246,12060,2021
"Atlantic City-Hammonton, NJ Metro Area",223171,141884,141556,129394,12162,328,81287,12100,2021
"Atmore, AL Micro Area",29427,14364,14364,12962,1402,0,15063,12120,2021
"Auburn, IN Micro Area",33839,21975,21934,21070,864,41,11864,12140,2021
"Auburn, NY Micro Area",63381,36470,36439,34816,1623,31,26911,12180,2021
"Auburn-Opelika, AL Metro Area",139631,83655,82914,79359,3555,741,55976,12220,2021
"Augusta-Richmond County, GA-SC Metro Area",482731,293872,282688,262997,19691,11184,188859,12260,2021
"Augusta-Waterville, ME Micro Area",102308,63481,63355,60713,2642,126,38827,12300,2021
"Austin, MN Micro Area",30858,20137,20136,19525,611,1,10721,12380,2021
"Austin-Round Rock-Georgetown, TX Metro Area",1779681,1265755,1263937,1207746,56191,1818,513926,12420,2021
