NAME,B28002_001E,B28002_002E,B28002_003E,B28002_004E,B28002_005E,B28002_006E,B28002_007E,B28002_008E,B28002_009E,B28002_010E,B28002_011E,B28002_012E,B28002_013E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",17577,15100,32,15068,13695,1977,12205,1234,1079,96,26,519,1958,10100
"Aberdeen, WA Micro Area",29542,25898,62,25836,23278,3623,21019,2313,1518,158,8,770,2874,10140
"Abilene, TX Metro Area",65075,57334,72,57262,54196,9821,44178,2558,4988,299,42,1240,6501,10180
"Ada, OK Micro Area",14801,11705,15,11690,10739,1571,8835,472,2849,263,5,288,2808,10220
"Adrian, MI Micro Area",38626,33298,97,33201,30682,5328,24965,2175,2953,191,35,1009,4319,10300
"Aguadilla-Isabela, PR Metro Area",111556,73874,5558,68316,60828,22970,37860,6521,7068,549,50,5171,32511,10380
"Akron, OH Metro Area",292223,260250,577,259673,232281,25207,227848,25318,14867,757,154,7833,24140,10420
"Alamogordo, NM Micro Area",23832,20477,150,20327,18626,3005,15632,1353,1992,200,8,565,2790,10460
"Albany, GA Metro Area",57043,45697,21,45676,42241,9551,32424,2628,5710,519,35,1548,9798,10500
"Albany-Lebanon, OR Metro Area",49944,44668,119,44549,40394,5689,35474,3489,3648,374,105,1311,3965,10540
"Albany-Schenectady-Troy, NY Metro Area",372919,332599,1021,331578,297976,31085,293624,31223,12665,1030,231,11407,28913,10580
"Albemarle, NC Micro Area",23773,20496,23,20473,18925,3240,16230,1221,1652,253,0,706,2571,10620
"Albert Lea, MN Micro Area",12890,10755,66,10689,9556,1807,8117,960,1007,109,30,298,1837,10660
"Albertville, AL Micro Area",35930,31400,37,31363,29477,5811,24333,1604,2104,168,67,709,3821,10700
"Albuquerque, NM Metro Area",367877,317142,1175,315967,284952,40894,259218,24413,31271,1955,329,10905,39830,10740
"Alexander City, AL Micro Area",20437,16270,0,16270,13904,3714,10922,1923,2085,287,65,777,3390,10760
"Alexandria, LA Metro Area",55263,46250,66,46184,43288,9208,32182,2378,6463,318,51,1080,7933,10780
"Alexandria, MN Micro Area",17252,14812,99,14713,12470,1701,11948,2106,1559,81,9,590,1850,10820
"Alice, TX Micro Area",15806,10768,0,10768,8500,1518,8074,1812,2112,188,0,295,4743,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",333576,294022,916,293106,269977,32449,252868,21245,17139,767,106,7202,32352,10900
"Alma, MI Micro Area",14705,12232,37,12195,10355,2139,8423,1517,1732,232,14,557,1916,10940
"Alpena, MI Micro Area",12721,10499,34,10465,8737,1867,7787,1454,980,183,18,476,1746,10980
"Altoona, PA Metro Area",50587,42266,158,42108,36639,5291,35289,5001,2781,231,44,1062,7259,11020
"Altus, OK Micro Area",9835,8682,121,8561,7983,1581,6137,484,1144,55,2,166,987,11060
"Amarillo, TX Metro Area",101424,88860,85,88775,80153,12880,71464,7657,8113,641,29,2125,10439,11100
"Americus, GA Micro Area",12217,9373,57,9316,8383,2431,5881,650,1458,243,25,296,2548,11140
"Ames, IA Metro Area",49305,39481,230,39251,36385,4448,33073,2500,2687,185,12,6804,3020,11180
"Amsterdam, NY Micro Area",18918,15210,116,15094,12631,1452,13069,2284,832,66,26,765,2943,11220
"Anchorage, AK Metro Area",146424,136165,256,135909,127673,21221,111521,7610,6290,185,86,2261,7998,11260
"Andrews, TX Micro Area",6603,5993,5,5988,5556,1052,4385,352,744,57,0,162,448,11380
"Angola, IN Micro Area",13794,11572,44,11528,10474,2146,7717,769,2106,230,9,510,1712,11420
"Ann Arbor, MI Metro Area",148704,138501,114,138387,130921,11769,121694,6781,7665,363,24,4152,6051,11460
"Anniston-Oxford, AL Metro Area",44693,37295,47,37248,32181,7404,27331,4172,3923,634,11,905,6493,11500
"Appleton, WI Metro Area",97358,88716,280,88436,80722,11377,72794,6695,6458,591,68,1639,7003,11540
"Arcadia, FL Micro Area",12340,9394,44,9350,8349,2352,6090,757,1095,178,0,675,2271,11580
"Ardmore, OK Micro Area",22424,17733,40,17693,14015,3846,11080,1899,2842,671,165,787,3904,11620
"Arecibo, PR Metro Area",64952,46915,245,46670,43933,16190,28103,2372,3272,258,0,956,17081,11640
"Arkadelphia, AR Micro Area",7955,6184,4,6180,5768,1029,4708,297,653,43,0,283,1488,11660
"Asheville, NC Metro Area",187343,159735,398,159337,144593,21191,129746,12603,12588,1166,172,4238,23370,11700
