metro_area,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,subway_or_rail,taxi,motorcycle,bicycle,walked,other_means,worked_from_home,other,worked_from_home_extended,metro_area_id
"Aberdeen, SD Micro Area",22377,19725,18036,1689,1289,276,124,42,42,0,0,0,0,63,911,10100
"Aberdeen, WA Micro Area",28624,24319,22051,2268,1908,234,126,309,309,0,0,0,0,243,1119,10140
"Abilene, TX Metro Area",82753,74070,64907,9163,6639,1392,1132,289,262,0,0,0,27,394,1416,10180
"Ada, OK Micro Area",17006,15441,14104,1337,951,282,104,30,30,0,0,0,0,35,741,10220
"Adrian, MI Micro Area",42860,38180,35237,2943,2203,394,346,64,53,0,0,0,11,47,1104,10300
"Aguadilla-Isabela, PR Metro Area",86871,78843,72403,6440,4160,1600,680,327,114,32,27,59,95,275,2703,10380
"Akron, OH Metro Area",345726,295938,270801,25137,19989,2983,2165,3132,2994,16,0,86,36,374,5236,10420
"Alamogordo, NM Micro Area",26803,24456,21706,2750,2100,454,196,104,96,0,0,8,0,21,772,10460
"Albany, GA Metro Area",60460,55121,48758,6363,4857,992,514,492,492,0,0,0,0,84,838,10500
"Albany-Lebanon, OR Metro Area",56684,49178,43738,5440,4287,752,401,146,132,2,12,0,0,209,1149,10540
"Albany-Schenectady-Troy, NY Metro Area",448347,363821,329401,34420,28015,4132,2273,13066,12244,246,356,99,121,932,14191,10580
"Albemarle, NC Micro Area",28124,25872,22944,2928,2084,447,397,15,15,0,0,0,0,0,329,10620
"Albert Lea, MN Micro Area",14440,12790,11714,1076,844,181,51,24,24,0,0,0,0,82,416,10660
"Albertville, AL Micro Area",40866,38133,34202,3931,2729,727,475,91,91,0,0,0,0,10,140,10700
"Albuquerque, NM Metro Area",421395,355807,316551,39256,29495,5951,3810,4424,3804,0,483,45,92,2466,6970,10740
"Alexander City, AL Micro Area",19239,18045,15932,2113,1638,260,215,30,30,0,0,0,0,17,184,10760
"Alexandria, LA Metro Area",62299,54976,50730,4246,3211,630,405,1243,1243,0,0,0,0,61,1498,10780
"Alexandria, MN Micro Area",19442,16849,15570,1279,975,225,79,29,29,0,0,0,0,123,404,10820
"Alice, TX Micro Area",18380,16456,14533,1923,1421,313,189,2,2,0,0,0,0,0,298,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",418499,353368,321438,31930,25109,4517,2304,5677,5067,204,319,26,61,670,9556,10900
"Alma, MI Micro Area",16782,14747,13522,1225,826,187,212,91,91,0,0,0,0,117,571,10940
"Alpena, MI Micro Area",11893,10322,9601,721,604,117,0,104,104,0,0,0,0,119,211,10980
"Altoona, PA Metro Area",56376,50709,46228,4481,3480,609,392,415,406,0,9,0,0,90,1691,11020
"Altus, OK Micro Area",11658,10872,9744,1128,873,161,94,5,5,0,0,0,0,38,152,11060
"Amarillo, TX Metro Area",126334,115273,102389,12884,9627,1718,1539,327,327,0,0,0,0,254,1822,11100
"Americus, GA Micro Area",13700,12278,10869,1409,913,374,122,0,0,0,0,0,0,2,221,11140
"Ames, IA Metro Area",65430,52068,47226,4842,4006,581,255,2554,2554,0,0,0,0,639,3512,11180
"Amsterdam, NY Micro Area",21665,18528,16322,2206,1815,246,145,55,45,10,0,0,0,108,748,11220
"Anchorage, AK Metro Area",194537,163267,140084,23183,17756,2982,2445,2335,2187,0,0,0,148,1352,4483,11260
"Andrews, TX Micro Area",9009,8552,7205,1347,756,136,455,9,9,0,0,0,0,0,29,11380
"Angola, IN Micro Area",16098,14802,13456,1346,952,274,120,46,46,0,0,0,0,61,485,11420
"Ann Arbor, MI Metro Area",184417,129000,116854,12146,10168,1336,642,7199,7109,72,11,0,7,2048,12011,11460
"Anniston-Oxford, AL Metro Area",48898,46250,41672,4578,3548,623,407,286,225,0,0,61,0,0,592,11500
"Appleton, WI Metro Area",129630,112819,104445,8374,6176,1590,608,507,487,0,0,0,20,489,2565,11540
"Arcadia, FL Micro Area",12092,10575,8465,2110,1248,537,325,162,162,0,0,0,0,121,307,11580
"Ardmore, OK Micro Area",25250,23526,20344,3182,2649,448,85,81,81,0,0,0,0,27,369,11620
"Arecibo, PR Metro Area",55664,51868,50392,1476,1135,171,170,166,125,0,0,29,12,17,445,11640
"Arkadelphia, AR Micro Area",9777,8408,7201,1207,727,344,136,50,50,0,0,0,0,0,685,11660
"Asheville, NC Metro Area",220222,186017,168646,17371,13305,2422,1644,1178,1087,20,0,0,71,289,3923,11700
"Ashland, OH Micro Area",24322,21540,19710,1830,1398,273,159,65,48,17,0,0,0,131,736,11740
"Ashtabula, OH Micro Area",40922,37600,33463,4137,2981,644,512,105,105,0,0,0,0,45,687,11780
"Astoria, OR Micro Area",18276,14480,12731,1749,1455,179,115,156,156,0,0,0,0,86,1452,11820
