NAME,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",33642,23522,23489,22673,816,33,10120,10100
"Aberdeen, WA Micro Area",62265,31365,31293,29300,1993,72,30900,10140
"Abilene, TX Metro Area",139671,85989,81023,78778,2245,4966,53682,10180
"Ada, OK Micro Area",29831,17911,17892,17121,771,19,11920,10220
"Adrian, MI Micro Area",81200,46700,46638,44046,2592,62,34500,10300
"Aguadilla-Isabela, PR Metro Area",264222,104642,104541,89852,14689,101,159580,10380
"Akron, OH Metro Area",576598,374210,373654,353723,19931,556,202388,10420
"Alamogordo, NM Micro Area",54618,29547,25526,23086,2440,4021,25071,10460
"Albany, GA Metro Area",116090,67295,66700,61306,5394,595,48795,10500
"Albany-Lebanon, OR Metro Area",103066,61706,61653,57828,3825,53,41360,10540
"Albany-Schenectady-Troy, NY Metro Area",750427,482858,481135,457202,23933,1723,267569,10580
"Albemarle, NC Micro Area",50742,30075,30043,28739,1304,32,20667,10620
"Albert Lea, MN Micro Area",24800,15376,15364,14695,669,12,9424,10660
"Albertville, AL Micro Area",75849,43136,43030,41389,1641,106,32713,10700
"Albuquerque, NM Metro Area",743447,453513,449143,423568,25575,4370,289934,10740
"Alexander City, AL Micro Area",42738,21540,21460,19468,1992,80,21198,10760
"Alexandria, LA Metro Area",119581,67577,67028,63366,3662,549,52004,10780
"Alexandria, MN Micro Area",31544,20309,20277,19658,619,32,11235,10820
"Alice, TX Micro Area",37227,19829,19829,18668,1161,0,17398,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",706347,451815,451496,426776,24720,319,254532,10900
"Alma, MI Micro Area",34614,18019,18016,17131,885,3,16595,10940
"Alpena, MI Micro Area",24201,13206,13140,12174,966,66,10995,10980
"Altoona, PA Metro Area",101006,60094,60014,57506,2508,80,40912,11020
"Altus, OK Micro Area",19159,12404,11251,10775,476,1153,6755,11060
"Amarillo, TX Metro Area",208993,131984,131722,127599,4123,262,77009,11100
"Americus, GA Micro Area",26879,14943,14934,14028,906,9,11936,11140
"Ames, IA Metro Area",106532,70907,70774,67445,3329,133,35625,11180
"Amsterdam, NY Micro Area",39346,23485,23465,22079,1386,20,15861,11220
"Anchorage, AK Metro Area",311909,210081,199328,188135,11193,10753,101828,11260
"Andrews, TX Micro Area",13367,9523,9523,9264,259,0,3844,11380
"Angola, IN Micro Area",28299,17832,17828,16567,1261,4,10467,11420
"Ann Arbor, MI Metro Area",311081,198161,197953,188675,9278,208,112920,11460
"Anniston-Oxford, AL Metro Area",94627,53521,53147,49455,3692,374,41106,11500
"Appleton, WI Metro Area",193631,135307,135209,131266,3943,98,58324,11540
"Arcadia, FL Micro Area",28791,13721,13721,12390,1331,0,15070,11580
"Ardmore, OK Micro Area",45303,26936,26928,25749,1179,8,18367,11620
"Arecibo, PR Metro Area",155576,64890,64786,57386,7400,104,90686,11640
"Arkadelphia, AR Micro Area",17770,10299,10290,9869,421,9,7471,11660
"Asheville, NC Metro Area",394658,232662,232333,224162,8171,329,161996,11700
"Ashland, OH Micro Area",42302,25676,25663,24707,956,13,16626,11740
"Ashtabula, OH Micro Area",78803,45608,45596,42136,3460,12,33195,11780
"Astoria, OR Micro Area",34385,19858,19501,18558,943,357,14527,11820
"Atchison, KS Micro Area",12997,8187,8187,7822,365,0,4810,11860
"Athens, OH Micro Area",53349,30031,29924,28218,1706,107,23318,11900
"Athens, TN Micro Area",43819,24122,24074,22798,1276,48,19697,11940
"Athens, TX Micro Area",67024,35626,35626,33667,1959,0,31398,11980
"Athens-Clarke County, GA Metro Area",178050,110183,109887,104540,5347,296,67867,12020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",4816427,3242437,3236369,3073253,163116,6068,1573990,12060
"Atlantic City-Hammonton, NJ Metro Area",224036,141862,141332,129611,11721,530,82174,12100
"Atmore, AL Micro Area",29357,14277,14277,12964,1313,0,15080,12120
"Auburn, IN Micro Area",34070,22346,22316,21356,960,30,11724,12140
"Auburn, NY Micro Area",63062,36329,36289,34744,1545,40,26733,12180
"Auburn-Opelika, AL Metro Area",143029,85288,84605,81409,3196,683,57741,12220
"Augusta-Richmond County, GA-SC Metro Area",488440,297480,286843,268345,18498,10637,190960,12260
"Augusta-Waterville, ME Micro Area",103232,63030,62905,60329,2576,125,40202,12300
"Austin, MN Micro Area",31076,20141,20137,19494,643,4,10935,12380
"Austin-Round Rock-Georgetown, TX Metro Area",1842671,1312194,1309448,1253191,56257,2746,530477,12420
"Bainbridge, GA Micro Area",22565,11953,11803,11043,760,150,10612,12460
"Bakersfield, CA Metro Area",674370,394325,391833,358961,32872,2492,280045,12540
"Baltimore-Columbia-Towson, MD Metro Area",2289955,1522970,1505648,1432417,73231,17322,766985,12580
"Bangor, ME Metro Area",129147,77448,77205,73912,3293,243,51699,12620
"Baraboo, WI Micro Area",52620,35246,35209,34221,988,37,17374,12660
"Bardstown, KY Micro Area",37129,23201,23149,22467,682,52,13928,12680
"Barnstable Town, MA Metro Area",200688,119897,119225,113900,5325,672,80791,12700
"Barre, VT Micro Area",50234,32505,32378,31418,960,127,17729,12740
"Bartlesville, OK Micro Area",41503,23976,23950,23038,912,26,17527,12780
"Batavia, NY Micro Area",47597,30338,30326,28893,1433,12,17259,12860
"Batesville, AR Micro Area",44179,23669,23604,22305,1299,65,20510,12900
"Baton Rouge, LA Metro Area",691953,432347,431549,403444,28105,798,259606,12940
"Battle Creek, MI Metro Area",107217,64051,63885,59548,4337,166,43166,12980
"Bay City, MI Metro Area",85924,50772,50747,48294,2453,25,35152,13020
"Bay City, TX Micro Area",27944,15986,15905,14845,1060,81,11958,13060
"Beatrice, NE Micro Area",17382,11016,11004,10781,223,12,6366,13100
"Beaumont-Port Arthur, TX Metro Area",309431,176674,176144,166684,9460,530,132757,13140
"Beaver Dam, WI Micro Area",73786,49121,49081,47053,2028,40,24665,13180
"Beckley, WV Metro Area",93567,44345,44164,40967,3197,181,49222,13220
"Bedford, IN Micro Area",36835,22147,22141,21419,722,6,14688,13260
"Beeville, TX Micro Area",25506,11091,11091,10381,710,0,14415,13300
"Bellefontaine, OH Micro Area",37079,22547,22530,21746,784,17,14532,13340
"Bellingham, WA Metro Area",188257,117553,117163,111457,5706,390,70704,13380
"Bemidji, MN Micro Area",36003,22674,22633,21422,1211,41,13329,13420
"Bend, OR Metro Area",164935,104219,104044,98636,5408,175,60716,13460
"Bennettsville, SC Micro Area",22015,9689,9677,8922,755,12,12326,13500
"Bennington, VT Micro Area",31181,18561,18439,17673,766,122,12620,13540
"Berlin, NH Micro Area",27177,15073,15056,14431,625,17,12104,13620
"Big Rapids, MI Micro Area",33231,17795,17789,16808,981,6,15436,13660
"Big Spring, TX Micro Area",27787,15086,15050,14271,779,36,12701,13700
"Big Stone Gap, VA Micro Area",33193,15558,15546,14156,1390,12,17635,13720
"Billings, MT Metro Area",148120,97099,97015,93606,3409,84,51021,13740
"Binghamton, NY Metro Area",204920,117929,117884,110024,7860,45,86991,13780
"Birmingham-Hoover, AL Metro Area",891474,546303,545200,518512,26688,1103,345171,13820
"Bismarck, ND Metro Area",105848,72009,71787,69953,1834,222,33839,13900
"Blackfoot, ID Micro Area",35708,23072,23045,21636,1409,27,12636,13940
"Blacksburg-Christiansburg, VA Metro Area",143008,80033,79782,76910,2872,251,62975,13980
"Bloomington, IL Metro Area",138934,88770,88701,85832,2869,69,50164,14010
"Bloomington, IN Metro Area",137971,85560,85478,80578,4900,82,52411,14020
"Bloomsburg-Berwick, PA Metro Area",69927,40780,40675,38951,1724,105,29147,14100
